#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11
639,bemor,betob,ADJ,2156,syn,high,10,10,10,10,8,9,9,10,9,9,8,8,4,7,3,7,8,9,8,7,6,9
640,tinch,osoyishta,ADJ,1840,syn,high,9,10,9,9,9,9,8,9,9,8,9,9,9,10,9,10,8,9,9,8,6,6
641,sobiq,oldingi,ADJ,1818,syn,high,8,8,6,7,5,7,6,7,6,8,8,10,4,7,2,6,3,5,0,0,7,8
642,faxriy,nuroniy,ADJ,1804,syn,high,8,9,7,7,6,7,4,7,8,9,6,9,8,9,4,8,4,6,8,8,8,9
643,sevimli,suyukli,ADJ,1692,syn,high,9,10,8,9,8,9,9,9,8,8,8,8,8,7,9,9,9,10,10,9,3,7
644,keksa,nuroniy,ADJ,1151,syn,high,10,10,8,10,4,8,6,8,6,7,8,9,6,7,3,7,3,5,9,8,3,8
645,xolis,betaraf,ADJ,730,syn,high,8,9,9,10,8,9,7,7,9,8,8,9,9,10,6,8,9,9,1,2,9,9
646,muttasil,muntazam,ADJ,629,syn,high,9,9,8,9,5,6,5,6,5,7,8,8,7,8,6,9,6,7,0,0,8,9
647,yaxlit,butun,ADJ,566,syn,high,9,10,10,10,6,8,5,7,6,8,10,10,6,7,7,9,9,10,9,8,8,9
648,lirik,mumtoz,ADJ,334,syn,high,6,8,7,8,8,9,9,10,10,9,8,9,9,9,7,10,4,6,8,10,3,6
649,g'aroyib,ajabtovur,ADJ,238,syn,high,8,9,9,10,9,10,8,9,9,10,8,8,9,9,9,10,9,9,2,8,8,8
650,kambag'al,miskin,ADJ,236,syn,high,7,8,7,9,5,8,8,8,2,6,8,8,6,7,4,7,3,6,8,8,4,7
651,tekin,bepul,ADJ,228,syn,high,8,10,10,10,8,9,9,10,9,10,9,9,8,10,7,9,9,10,7,6,9,9
652,mahkum,mahbus,ADJ,226,syn,high,10,10,10,10,9,9,9,10,4,7,7,8,4,5,5,9,6,8,6,8,5,8
653,mahkam,mustahkam,ADJ,213,syn,high,9,10,6,7,6,7,4,8,4,9,9,9,9,10,6,9,6,7,7,8,8,8
654,jozibador,latofatli,ADJ,198,syn,high,8,9,9,10,7,7,8,10,8,8,8,9,9,9,6,9,8,9,8,10,8,9
655,dindor,taqvodor,ADJ,177,syn,high,9,10,8,9,7,9,6,7,6,7,9,9,4,7,5,8,7,8,8,8,6,7
656,yupqa,nozik,ADJ,177,syn,high,7,9,8,9,6,8,3,4,7,8,6,8,6,8,4,7,3,6,8,6,8,9
657,yakka,birgina,ADJ,173,syn,high,8,9,7,7,7,8,6,7,4,6,7,8,6,8,8,9,6,6,8,8,6,8
658,hayoli,iboli,ADJ,169,syn,high,8,9,9,9,8,9,9,10,8,8,8,9,9,10,9,10,10,10,8,10,8,9
659,suveren,mustaqil,ADJ,132,syn,high,7,9,10,10,7,8,4,8,6,10,8,9,8,9,4,8,4,9,2,8,7,9
660,telba,nodon,ADJ,130,syn,high,8,10,7,9,8,10,9,9,9,8,7,6,9,9,9,9,10,10,8,9,3,6
661,chiroyli,latofatli,ADJ,123,syn,high,10,10,9,9,7,8,7,8,8,8,7,8,8,9,9,10,9,9,2,8,7,9
662,samoviy,fazoviy,ADJ,123,syn,high,9,9,9,9,9,10,9,9,9,10,8,8,9,10,4,8,8,9,3,6,9,8
663,betob,bemor,ADJ,120,syn,high,10,10,7,9,8,8,9,10,9,9,7,8,4,6,5,8,9,9,8,8,3,8
664,tetik,ildam,ADJ,118,syn,high,8,9,6,7,6,6,8,9,2,8,8,8,6,8,2,5,7,8,2,8,3,8
665,barxayot,abadiy,ADJ,117,syn,oov2,8,9,9,9,7,9,8,9,8,8,7,8,9,9,6,9,6,8,2,8,8,9
666,uyushgan,birlashgan,ADJ,116,syn,high,7,9,9,9,6,7,8,8,7,8,8,8,6,8,8,9,6,7,8,8,8,9
667,mahbus,tutqin,ADJ,115,syn,high,9,10,9,10,9,10,8,8,8,9,8,9,7,9,10,10,8,9,8,8,3,8
668,unumdor,hosildor,ADJ,105,syn,high,8,9,9,10,9,9,10,10,9,8,8,8,9,10,10,10,7,8,8,9,9,10
669,ayovsiz,shafqatsiz,ADJ,104,syn,high,9,10,10,10,8,9,7,8,8,9,8,9,9,10,7,9,8,9,8,9,8,9
670,ziyrak,chaqqon,ADJ,99,syn,high,9,9,9,9,5,7,9,10,8,9,7,7,7,9,5,7,7,9,8,6,4,9
671,nopok,iflos,ADJ,97,syn,high,9,10,8,8,6,8,6,9,8,8,1,9,10,10,5,8,7,8,9,10,9,9
672,yirtqich,yovvoyi,ADJ,92,syn,high,8,10,10,10,9,10,8,9,9,10,7,8,8,9,10,10,6,7,8,8,8,9
673,mayda,kichik,ADJ,87,syn,high,9,10,8,8,5,6,6,7,5,6,7,8,8,9,4,7,4,6,9,8,6,6
674,samarador,foydali,ADJ,87,syn,high,8,9,6,8,7,8,8,8,7,9,8,9,10,5,6,9,6,8,9,8,8,8
675,nosoz,buzuq,ADJ,86,syn,high,9,10,10,10,8,8,8,9,8,8,9,9,9,9,7,9,9,9,9,8,5,9
676,uyg'oq,bedor,ADJ,86,syn,high,8,9,9,9,7,8,8,8,9,10,8,8,8,10,9,10,9,9,8,8,4,9
677,shaffof,tiniq,ADJ,85,syn,high,10,10,9,10,8,9,9,8,8,9,9,10,10,10,6,8,7,9,10,9,5,9
678,hosildor,serhosil,ADJ,74,syn,high,10,10,8,9,8,9,9,10,7,8,9,9,9,10,7,10,9,10,8,8,8,9
679,dumaloq,yumaloq,ADJ,61,syn,high,10,10,8,8,7,8,8,8,8,9,7,8,8,9,6,9,7,8,8,10,6,8
680,manfaatli,foydali,ADJ,61,syn,high,8,9,8,9,7,8,7,9,9,9,9,10,9,9,6,9,8,8,6,10,6,6
681,charog'on,yorug',ADJ,59,syn,high,7,8,9,9,7,8,8,8,8,9,8,9,6,8,5,8,7,8,8,8,5,6
682,tansiq,mazali,ADJ,59,syn,high,8,9,9,10,7,9,5,7,6,7,8,9,7,8,6,8,8,9,8,8,6,8
683,devona,telba,ADJ,57,syn,high,9,9,9,9,4,8,4,6,5,7,8,8,8,9,8,9,7,8,8,8,7,8
684,g'amgin,xafa,ADJ,57,syn,high,9,9,9,9,9,9,6,8,8,9,8,9,4,6,4,9,7,8,8,7,6,8
685,serqatnov,gavjum,ADJ,54,syn,high,9,9,7,8,5,6,4,7,5,8,9,9,10,10,3,6,1,5,8,8,8,8
686,tuganmas,abadiy,ADJ,51,syn,high,9,9,6,7,5,7,4,7,4,5,8,9,8,9,2,4,3,6,0,7,8,9
687,ajabtovur,g'ayritabiiy,ADJ,50,syn,high,8,9,9,9,9,9,8,8,9,8,9,10,9,9,6,9,9,9,8,8,8,9
688,chidamli,mustahkam,ADJ,50,syn,high,10,10,8,9,8,9,6,8,6,8,8,9,7,8,7,9,6,7,9,8,8,8
689,dangasa,yalqov,ADJ,50,syn,high,9,10,10,10,8,8,9,10,8,10,8,9,9,9,9,10,9,10,5,7,6,9
690,benuqson,zararsiz,ADJ,44,syn,med,8,9,9,9,7,9,7,8,8,8,6,6,7,8,4,7,9,10,9,8,2,6
691,dovyurak,botir,ADJ,44,syn,med,10,10,10,10,9,9,7,9,7,8,9,9,10,10,8,10,8,8,6,7,9,9
692,mayib,yarador,ADJ,44,syn,med,8,9,7,7,6,8,3,7,6,9,8,8,5,7,2,6,3,5,8,8,3,9
693,totuv,inoq,ADJ,44,syn,med,8,8,10,10,8,9,9,9,9,10,9,10,9,10,9,10,7,8,3,8,4,9
694,ajnabiy,xorijiy,ADJ,42,syn,med,8,9,9,9,6,7,9,9,5,7,8,10,8,9,8,10,6,7,8,7,5,8
695,sevikli,suyukli,ADJ,41,syn,med,8,9,9,10,8,8,8,10,7,8,9,9,9,10,7,9,8,9,8,10,8,9
696,manfur,razil,ADJ,37,syn,med,6,7,8,9,6,7,6,8,7,8,4,4,6,8,9,9,8,9,8,7,8,9
697,malla,sariq,ADJ,31,syn,med,9,10,8,8,6,8,6,8,2,8,8,10,5,7,4,6,6,7,8,8,6,8
698,dang'illama,hashamatli,ADJ,30,syn,med,9,9,6,8,6,7,6,8,5,8,9,9,4,6,3,5,6,7,8,8,4,6
699,havoyi,yuzaki,ADJ,30,syn,med,8,9,7,9,7,7,7,8,6,8,5,4,2,10,3,5,4,7,2,9,3,8
700,uchqur,chopqir,ADJ,30,syn,med,8,8,9,9,8,8,9,9,9,9,10,10,7,10,8,9,7,9,8,8,8,8
701,surunkali,doimiy,ADJ,29,syn,med,9,10,7,7,6,7,6,7,7,8,10,10,4,6,2,6,4,6,3,6,3,8
702,taqchil,noyob,ADJ,29,syn,med,7,9,9,9,7,9,9,10,6,9,8,8,6,9,1,7,9,9,8,8,8,9
703,topqir,zukko,ADJ,29,syn,med,8,9,9,9,9,9,6,8,6,9,9,10,8,9,3,8,9,9,8,10,6,8
704,behalovat,bezovta,ADJ,28,syn,med,10,10,8,9,8,9,7,8,8,8,9,10,10,10,5,9,7,7,2,6,7,8
705,biyron,sergap,ADJ,28,syn,med,9,10,7,8,7,8,4,5,8,8,8,7,10,10,4,8,1,5,2,9,9,9
706,kasalmant,dardmand,ADJ,27,syn,oov2,9,10,7,8,9,9,7,9,8,10,8,9,9,9,8,8,10,10,7,9,9,9
707,arzanda,erkatoy,ADJ,25,syn,med,9,10,7,9,8,9,8,9,7,8,8,9,8,9,6,9,10,10,9,7,8,9
708,mislsiz,cheksiz,ADJ,25,syn,med,10,10,9,10,8,8,8,8,8,9,9,10,9,10,6,7,8,9,9,8,8,8
709,kamsuqum,kamtar,ADJ,24,syn,med,8,9,9,9,8,8,7,9,8,8,9,10,8,9,9,10,8,8,6,9,3,6
710,qaqshatqich,daxshatli,ADJ,24,syn,med,9,9,6,8,7,8,7,9,6,6,6,7,4,6,3,5,3,4,6,7,3,8
711,xatarli,qo'rqinchli,ADJ,24,syn,med,9,10,5,6,7,8,4,6,4,5,9,10,4,6,4,9,1,6,4,6,7,9
712,abgor,xarob,ADJ,23,syn,med,10,10,8,9,6,7,7,7,8,8,7,8,9,10,10,10,7,8,9,8,8,9
713,hokisor,qamsuqum,ADJ,23,syn,oov2,8,9,8,8,7,8,6,7,8,10,8,8,4,6,9,10,8,9,5,7,8,8
714,serunum,hosildor,ADJ,23,syn,med,10,10,9,10,8,10,9,9,7,8,9,9,7,9,9,9,9,9,8,9,6,8
715,dongdor,nomdor,ADJ,22,syn,med,9,10,8,9,7,7,4,5,6,9,8,9,6,7,6,7,4,5,8,7,9,9
716,noqobil,axloqsiz,ADJ,22,syn,med,9,9,7,7,8,8,8,8,7,9,8,9,4,6,4,7,6,6,6,7,4,8
717,horg'in,charchagan,ADJ,21,syn,med,9,10,7,9,9,9,8,8,8,8,7,7,7,9,8,10,9,9,8,8,8,8
718,mujmal,noaniq,ADJ,21,syn,med,9,10,9,9,8,9,8,9,8,7,9,10,10,7,7,9,7,9,8,8,9,9
719,harir,nozik,ADJ,20,syn,med,7,9,7,8,7,7,7,8,6,8,8,10,8,9,3,6,3,4,2,6,6,8
720,zangori,ko'k,ADJ,20,syn,med,9,10,7,8,8,9,7,8,8,8,8,10,8,9,6,9,6,8,4,6,7,8
721,beorom,behalovat,ADJ,19,syn,med,10,10,9,9,6,8,8,9,8,9,8,9,8,9,4,6,9,10,2,6,9,9
722,huzurbaxsh,orombaxsh,ADJ,19,syn,med,10,10,10,10,8,8,9,10,9,9,8,7,10,10,9,10,9,9,6,8,6,6
723,mazali,shirin,ADJ,19,syn,med,10,10,7,9,8,9,5,9,9,10,8,9,9,10,4,6,5,6,8,8,9,9
724,mubolag'asiz,shubhasiz,ADJ,19,syn,med,10,10,7,8,7,8,8,9,9,10,0,2,9,9,7,9,9,10,8,10,8,10
725,odmi,oddiy,ADJ,19,syn,med,8,9,4,6,4,5,3,4,3,4,9,10,4,6,2,6,2,3,0,2,9,9
726,o'zgarmas,doimiy,ADJ,19,syn,med,10,10,9,9,5,6,4,7,4,6,8,9,3,5,8,10,3,5,2,8,3,9
727,sadoqatli,vafoli,ADJ,19,syn,med,9,10,9,9,8,9,10,10,9,10,10,10,8,9,7,10,9,10,8,6,7,8
728,tortinchoq,uyatchan,ADJ,19,syn,med,9,10,6,7,7,7,8,8,9,9,7,8,10,10,5,9,7,8,8,7,8,9
618,hozirgi,mazkur,ADJ,8287,syn,high,7,8,8,9,6,7,8,8,7,9,4,9,5,6,4,7,3,4,8,8,8,9
729,burro,biyron,ADJ,18,syn,med,10,10,7,9,7,7,5,7,8,9,8,9,7,8,10,10,9,10,8,6,3,5
730,darbadar,daydi,ADJ,18,syn,med,8,9,6,6,8,9,8,9,8,9,9,8,8,9,6,8,9,9,8,7,8,9
731,xotamtoy,saxiy,ADJ,18,syn,oov2,8,9,8,9,7,8,9,10,8,9,10,10,7,8,6,9,7,9,8,9,3,6
732,darg'azab,badjahl,ADJ,17,syn,med,9,10,9,9,7,8,9,9,9,10,6,9,7,9,8,10,8,8,8,8,8,9
733,hashamdor,ko'rkam,ADJ,13,syn,med,9,9,6,6,5,5,3,5,4,6,10,10,3,5,4,7,3,5,8,7,8,8
734,nikohsiz,benikoh,ADJ,13,syn,med,8,9,10,10,8,9,8,9,8,9,9,10,8,10,9,10,1,10,8,8,6,9
735,ohangdor,jarangdor,ADJ,13,syn,med,8,9,8,8,6,7,7,8,6,7,7,8,7,9,4,7,4,6,6,9,7,8
736,o'ng'ay,bemalol,ADJ,13,syn,med,7,7,8,9,6,7,7,7,3,6,9,9,4,6,2,6,6,8,9,9,3,6
737,qayg'uli,g'amgin,ADJ,13,syn,med,9,9,9,9,7,8,7,8,4,6,8,9,10,10,3,6,6,7,8,8,4,6
738,beziyon,zararsiz,ADJ,12,syn,med,10,10,9,10,9,10,8,9,7,8,8,9,8,9,4,7,6,7,8,7,7,9
739,dardmand,bemor,ADJ,12,syn,med,10,10,8,8,8,8,9,8,9,9,8,9,4,8,7,9,6,7,8,8,6,9
740,ruxsatsiz,iznsiz,ADJ,12,syn,med,8,9,10,10,8,9,9,9,8,9,9,9,7,8,9,10,8,9,4,8,7,8
741,serzavq,rohatbaxsh,ADJ,12,syn,med,8,10,9,9,8,9,8,9,6,8,8,9,6,8,6,9,9,9,8,10,9,9
742,takabbur,manman,ADJ,12,syn,med,10,10,9,10,8,9,9,9,8,9,8,9,8,10,8,10,8,9,8,2,8,9
743,xomush,xafaqon,ADJ,12,syn,med,9,9,6,6,7,9,6,8,8,7,8,10,4,7,4,7,5,6,8,8,8,9
744,afzal,muhim,ADJ,11,syn,med,9,10,3,4,5,5,4,5,3,5,4,9,10,10,3,6,2,4,8,7,6,8
745,badjahl,g'azabli,ADJ,11,syn,med,10,10,8,10,6,8,7,7,9,9,9,9,6,8,6,7,9,10,7,8,8,9
746,bardam,tetik,ADJ,11,syn,med,9,10,9,10,6,7,8,8,8,9,9,9,7,8,9,10,6,9,2,6,8,9
747,beparda,to'siqsiz,ADJ,11,syn,med,7,9,7,9,6,8,3,4,7,9,1,4,6,6,4,8,5,5,8,7,8,9
748,cho'zinchoq,uzunchoq,ADJ,11,syn,med,9,9,7,8,5,7,4,5,3,5,8,9,4,6,2,6,3,5,8,9,3,8
749,keskir,o'tkir,ADJ,11,syn,med,9,10,8,9,7,8,5,7,8,9,9,10,7,9,8,10,7,8,8,8,6,8
750,mavxum,yashirin,ADJ,11,syn,med,9,9,5,6,5,6,3,6,7,8,8,8,8,9,4,9,6,7,2,8,7,9
751,paxlavon,kuchli,ADJ,11,syn,med,8,9,7,9,7,8,4,6,6,8,8,9,9,10,2,4,6,7,7,8,6,8
752,shiddatli,jadal,ADJ,11,syn,med,8,9,8,8,7,8,6,8,7,8,8,8,7,8,3,6,4,6,6,8,4,6
753,yumuq,berk,ADJ,11,syn,med,7,9,5,6,7,8,6,6,7,8,7,8,7,8,1,3,0,9,8,7,5,5
754,berahm,zolim,ADJ,10,syn,med,9,9,7,9,7,7,7,9,7,8,10,10,10,10,2,5,7,7,8,8,6,6
755,bilag'on,bilimdon,ADJ,10,syn,med,9,10,8,9,9,9,9,9,8,9,9,10,6,8,8,10,8,9,2,0,8,8
756,saxovatli,saxiy,ADJ,10,syn,med,9,9,8,8,6,8,8,9,8,8,8,9,8,9,7,10,8,8,6,7,3,6
757,unsiz,tovushsiz,ADJ,10,syn,med,9,9,9,10,6,8,8,9,8,8,8,10,6,8,4,7,6,6,10,10,7,9
758,zararsiz,bezarar,ADJ,10,syn,med,10,10,10,10,8,9,8,8,8,8,9,9,9,10,9,10,8,9,9,9,9,9
759,aqlsiz,tentak,ADJ,9,syn,med,8,9,7,7,6,8,6,8,6,7,1,10,7,9,6,9,8,8,9,8,6,7
760,behol,madorsiz,ADJ,9,syn,med,9,10,9,10,9,9,9,9,9,10,8,9,10,10,5,8,7,8,6,7,6,8
761,daroz,uzun,ADJ,9,syn,med,6,8,5,5,5,6,4,5,4,5,7,8,3,4,3,6,3,5,8,9,7,8
762,ilmli,bilimli,ADJ,9,syn,med,10,10,8,8,8,9,8,9,9,10,9,9,8,10,9,10,9,9,8,8,9,9
763,isqirt,iflos,ADJ,9,syn,med,8,8,5,7,6,7,6,7,7,8,7,7,5,6,5,8,8,9,8,6,9,9
764,sehrli,jozibali,ADJ,9,syn,med,7,9,6,7,6,7,6,8,5,8,6,8,8,8,7,9,8,8,5,8,6,8
765,sergap,ezma,ADJ,9,syn,med,8,9,7,8,6,7,8,9,5,7,9,10,7,10,3,5,4,5,7,6,3,6
766,serhasham,hashamdor,ADJ,9,syn,med,10,10,9,9,8,8,9,9,8,9,7,8,7,9,7,10,4,6,8,10,8,8
767,totli,shirin,ADJ,9,syn,med,9,10,7,7,5,6,6,8,9,10,8,10,7,9,6,9,8,8,9,8,9,10
768,unumli,barakali,ADJ,9,syn,med,7,9,7,8,6,7,9,9,6,8,8,8,7,8,7,10,8,9,8,8,9,9
769,hayosiz,sharmsiz,ADJ,8,syn,med,9,10,9,10,9,9,9,9,8,9,9,10,8,9,7,10,9,9,8,10,6,8
770,ko'rimli,ko'rkam,ADJ,8,syn,med,7,9,9,9,8,9,7,8,7,9,7,7,9,9,4,7,6,8,8,9,8,8
771,pog'onali,bosqichli,ADJ,8,syn,med,6,9,8,9,7,9,7,8,4,5,9,10,6,8,5,9,6,6,8,7,8,8
772,qayishqoq,egiluvchan,ADJ,8,syn,med,9,10,8,9,4,6,6,7,6,8,9,9,7,8,6,10,4,5,8,8,8,9
773,shijoatli,shaxdam,ADJ,8,syn,med,8,10,8,9,6,7,6,7,9,9,7,8,4,6,4,7,8,9,7,8,9,9
774,uyushqoq,hamjihat,ADJ,8,syn,med,8,10,9,9,9,9,8,9,8,8,6,8,9,10,7,10,4,5,2,6,8,9
775,vaznli,og'ir,ADJ,8,syn,med,9,10,6,7,3,4,3,8,8,10,8,9,2,5,2,4,2,5,8,7,3,8
776,bilimli,zakovatli,ADJ,7,syn,med,9,9,9,9,8,9,9,8,8,9,7,7,9,10,6,8,9,10,10,10,6,8
777,bukiluvchan,egiluvchan,ADJ,7,syn,med,9,9,8,9,7,8,4,9,7,8,9,10,8,8,6,9,7,7,9,9,8,9
778,chapdast,epchil,ADJ,7,syn,med,8,9,9,10,8,9,9,9,8,8,8,8,7,9,10,10,8,9,8,7,7,8
779,daraksiz,bexabar,ADJ,7,syn,med,7,9,10,10,7,9,6,8,7,8,9,9,7,8,8,10,6,7,8,7,9,9
780,daromadli,foydali,ADJ,7,syn,med,7,9,9,9,8,7,8,9,9,9,8,8,6,9,5,8,6,7,6,8,9,9
781,halqasimon,doirasimon,ADJ,7,syn,med,8,9,7,9,8,8,7,8,6,6,8,9,6,7,8,10,6,7,2,8,6,9
782,pahmoq,yumshoq,ADJ,7,syn,oov2,8,10,7,8,8,9,6,7,4,6,7,9,3,6,3,7,4,5,3,5,8,9
783,rejali,tartibli,ADJ,7,syn,med,7,8,9,9,7,8,6,7,9,9,7,7,9,9,2,5,6,8,8,10,6,7
784,vaysaqi,ezma,ADJ,7,syn,med,8,9,5,7,8,7,3,5,8,8,8,8,6,7,5,7,9,10,3,5,4,5
785,xushvaqt,xursand,ADJ,7,syn,med,9,10,9,9,7,8,7,6,7,9,8,9,8,10,6,8,10,10,8,9,8,9
786,axloqsiz,odobsiz,ADJ,6,syn,med,9,10,7,8,7,8,7,8,8,8,9,10,9,10,9,9,8,9,8,9,8,9
787,beor,nomussiz,ADJ,6,syn,med,9,10,8,9,7,8,7,8,6,8,8,9,9,9,7,10,7,7,8,8,3,8
788,dumbul,yalqov,ADJ,6,syn,med,8,9,6,8,8,9,9,10,6,8,8,9,7,8,4,8,3,5,6,8,3,9
789,chalajon,nimjon,ADJ,3,syn,low,8,9,10,10,8,9,7,8,9,9,8,9,6,7,6,9,7,9,8,7,8,9
790,dardli,musibatli,ADJ,3,syn,low,10,10,9,10,6,8,8,9,8,9,8,9,8,9,4,7,6,9,8,8,7,8
791,kamhosil,unumsiz,ADJ,3,syn,low,9,10,5,6,6,7,7,8,6,8,9,9,10,10,5,7,3,5,2,6,3,6
792,munozarali,bahsli,ADJ,3,syn,low,10,10,6,8,7,7,8,9,6,8,9,9,6,7,6,9,6,6,8,8,8,9
793,gapdon,biyron,ADJ,1,syn,low,9,10,9,9,7,8,6,7,4,6,8,10,8,9,9,10,9,9,8,0,4,6
794,go'shtxo'r,yirtqich,ADJ,1,syn,oov,7,9,8,10,6,8,4,7,3,8,6,8,9,10,5,7,4,8,3,5,7,9
795,husndor,chiroyli,ADJ,1,syn,low,8,10,9,10,6,6,7,9,7,9,8,9,7,10,6,9,9,8,8,9,9,9
796,lazzatli,mazali,ADJ,1,syn,low,10,10,9,9,8,8,10,10,7,8,10,10,8,9,8,10,9,9,8,9,9,10
797,maymoq,paxmoq,ADJ,1,syn,low,8,9,6,6,6,6,3,4,2,8,8,10,7,8,4,7,4,5,3,6,3,6
799,mojaroviy,janjalli,ADJ,1,syn,oov,8,8,8,8,7,8,8,10,6,8,8,8,6,7,6,8,3,5,9,9,8,9
800,mungli,qayg'uli,ADJ,1,syn,low,7,8,7,8,7,9,6,7,8,8,7,8,4,6,8,10,7,8,9,8,6,7
801,nosog',kasal,ADJ,1,syn,low,8,9,8,9,7,8,6,7,7,8,8,9,5,7,7,10,1,6,8,7,8,9
802,oriyatli,g'ururli,ADJ,1,syn,low,8,8,10,10,9,10,8,9,8,8,9,9,9,10,9,10,9,10,8,8,6,9
803,qiltiriq,oriq,ADJ,1,syn,low,8,9,9,9,6,8,7,7,0,8,9,10,7,8,6,9,2,8,8,8,8,9
804,qomatdor,salobatli,ADJ,1,syn,low,7,9,7,7,5,6,4,7,3,6,7,8,4,6,4,8,2,5,4,6,3,6
805,sabrsiz,betoqat,ADJ,1,syn,low,9,9,9,9,7,8,8,8,7,9,9,10,8,8,9,10,9,10,8,10,8,9
806,suxsur,chiroyli,ADJ,1,syn,low,6,9,9,9,7,9,8,9,6,8,7,8,8,10,4,7,8,9,2,2,8,8
807,tilyog'lama,makkor,ADJ,1,syn,low,9,9,7,9,6,7,8,9,9,8,7,7,9,10,6,8,8,9,2,6,6,9
808,toqatli,chidamli,ADJ,1,syn,low,9,10,8,9,7,8,6,6,8,8,8,9,5,7,4,7,6,8,8,8,6,9
809,tubsiz,chuqur,ADJ,1,syn,low,8,9,9,9,9,9,9,10,7,9,8,9,8,9,8,10,8,9,9,10,8,9
810,uqubatli,dardli,ADJ,1,syn,low,9,9,7,9,7,8,6,7,6,8,8,10,5,6,2,3,8,8,6,7,7,8
811,uyqusiz,bedor,ADJ,1,syn,low,9,10,10,10,7,9,6,8,8,9,8,8,10,10,9,10,9,10,8,8,9,9
