#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11,s12,r12
20,boshlang'ich,dastlabki,ADJ,3175,syn,high,9,10,9,10,7,7,6,7,7,9,7,8,6,7,8,10,2,5,8,8,7,9,6,8
21,ilg'or,zamonaviy,ADJ,2876,syn,high,8,9,8,10,8,9,7,9,5,9,8,9,3,6,4,7,7,7,8,7,8,9,8,9
22,muqaddas,aziz,ADJ,2742,syn,high,10,10,7,8,7,7,8,9,9,9,9,9,6,8,8,9,6,8,2,6,7,8,6,8
23,xaqiqiy,asl,ADJ,2637,syn,oov2,8,9,8,10,6,8,7,9,5,8,9,9,7,8,3,7,4,5,5,6,8,9,8,9
24,bo'sh,quruq,ADJ,2378,syn,high,6,9,7,8,5,7,6,6,4,5,6,8,1,6,4,8,3,3,2,7,8,9,5,6
25,ozod,mustaqil,ADJ,2332,syn,high,9,9,6,9,7,8,6,6,3,5,10,10,4,6,8,10,5,6,6,8,8,9,8,9
26,quyi,past,ADJ,2309,syn,high,9,10,8,8,7,8,7,9,7,8,10,10,6,7,7,9,6,7,8,7,8,9,8,8
27,keskin,jadal,ADJ,2306,syn,high,7,8,6,7,6,8,8,9,6,8,6,7,7,8,3,7,8,8,0,8,8,8,3,8
28,yomon,salbiy,ADJ,2278,syn,high,8,9,6,9,6,8,7,7,7,9,8,9,8,10,6,7,7,8,6,8,8,9,8,9
29,bemor,betob,ADJ,2156,syn,high,10,10,10,10,8,9,9,10,9,9,8,8,4,7,3,7,8,9,8,7,7,8,6,9
30,tinch,osoyishta,ADJ,1840,syn,high,9,10,9,9,9,9,8,9,9,8,9,9,9,10,9,10,8,9,9,8,8,9,6,6
31,sobiq,oldingi,ADJ,1818,syn,high,8,8,6,7,5,7,6,7,6,8,8,10,4,7,2,6,3,5,0,0,8,8,7,8
32,faxriy,nuroniy,ADJ,1804,syn,high,8,9,7,7,6,7,4,7,8,9,6,9,8,9,4,8,4,6,8,8,8,8,8,9
33,sevimli,suyukli,ADJ,1692,syn,high,9,10,8,9,8,9,9,9,8,8,8,8,8,7,9,9,9,10,10,9,8,9,3,7
34,keksa,nuroniy,ADJ,1151,syn,high,10,10,8,10,4,8,6,8,6,7,8,9,6,7,3,7,3,5,9,8,8,9,3,8
35,xolis,betaraf,ADJ,730,syn,high,8,9,9,10,8,9,7,7,9,8,8,9,9,10,6,8,9,9,1,2,7,8,9,9
36,muttasil,muntazam,ADJ,629,syn,high,9,9,8,9,5,6,5,6,5,7,8,8,7,8,6,9,6,7,0,0,7,8,8,9
37,yaxlit,butun,ADJ,566,syn,high,9,10,10,10,6,8,5,7,6,8,10,10,6,7,7,9,9,10,9,8,8,9,8,9
38,lirik,mumtoz,ADJ,334,syn,high,6,8,7,8,8,9,9,10,10,9,8,9,9,9,7,10,4,6,8,10,8,9,3,6
39,g'aroyib,ajabtovur,ADJ,238,syn,high,8,9,9,10,9,10,8,9,9,10,8,8,9,9,9,10,9,9,2,8,7,8,8,8
40,kambag'al,miskin,ADJ,236,syn,high,7,8,7,9,5,8,8,8,2,6,8,8,6,7,4,7,3,6,8,8,7,8,4,7
41,tekin,bepul,ADJ,228,syn,high,8,10,10,10,8,9,9,10,9,10,9,9,8,10,7,9,9,10,7,6,8,9,9,9
42,mahkum,mahbus,ADJ,226,syn,high,10,10,10,10,9,9,9,10,4,7,7,8,4,5,5,9,6,8,6,8,7,8,5,8
43,mahkam,mustahkam,ADJ,213,syn,high,9,10,6,7,6,7,4,8,4,9,9,9,9,10,6,9,6,7,7,8,7,8,8,8
44,jozibador,latofatli,ADJ,198,syn,high,8,9,9,10,7,7,8,10,8,8,8,9,9,9,6,9,8,9,8,10,8,8,8,9
45,dindor,taqvodor,ADJ,177,syn,high,9,10,8,9,7,9,6,7,6,7,9,9,4,7,5,8,7,8,8,8,8,9,6,7
46,yupqa,nozik,ADJ,177,syn,high,7,9,8,9,6,8,3,4,7,8,6,8,6,8,4,7,3,6,8,6,8,8,8,9
47,yakka,birgina,ADJ,173,syn,high,8,9,7,7,7,8,6,7,4,6,7,8,6,8,8,9,6,6,8,8,8,9,6,8
48,hayoli,iboli,ADJ,169,syn,high,8,9,9,9,8,9,9,10,8,8,8,9,9,10,9,10,10,10,8,10,8,9,8,9
49,suveren,mustaqil,ADJ,132,syn,high,7,9,10,10,7,8,4,8,6,10,8,9,8,9,4,8,4,9,2,8,7,0,7,9
50,telba,nodon,ADJ,130,syn,high,8,10,7,9,8,10,9,9,9,8,7,6,9,9,9,9,10,10,8,9,8,9,3,6
51,chiroyli,latofatli,ADJ,123,syn,high,10,10,9,9,7,8,7,8,8,8,7,8,8,9,9,10,9,9,2,8,7,8,7,9
52,samoviy,fazoviy,ADJ,123,syn,high,9,9,9,9,9,10,9,9,9,10,8,8,9,10,4,8,8,9,3,6,8,9,9,8
53,betob,bemor,ADJ,120,syn,high,10,10,7,9,8,8,9,10,9,9,7,8,4,6,5,8,9,9,8,8,7,9,3,8
54,tetik,ildam,ADJ,118,syn,high,8,9,6,7,6,6,8,9,2,8,8,8,6,8,2,5,7,8,2,8,7,8,3,8
55,barxayot,abadiy,ADJ,117,syn,oov2,8,9,9,9,7,9,8,9,8,8,7,8,9,9,6,9,6,8,2,8,7,8,8,9
56,uyushgan,birlashgan,ADJ,116,syn,high,7,9,9,9,6,7,8,8,7,8,8,8,6,8,8,9,6,7,8,8,8,9,8,9
57,mahbus,tutqin,ADJ,115,syn,high,9,10,9,10,9,10,8,8,8,9,8,9,7,9,10,10,8,9,8,8,8,9,3,8
58,unumdor,hosildor,ADJ,105,syn,high,8,9,9,10,9,9,10,10,9,8,8,8,9,10,10,10,7,8,8,9,8,8,9,10
59,ayovsiz,shafqatsiz,ADJ,104,syn,high,9,10,10,10,8,9,7,8,8,9,8,9,9,10,7,9,8,9,8,9,7,8,8,9
60,ziyrak,chaqqon,ADJ,99,syn,high,9,9,9,9,5,7,9,10,8,9,7,7,7,9,5,7,7,9,8,6,7,8,4,9
61,nopok,iflos,ADJ,97,syn,high,9,10,8,8,6,8,6,9,8,8,1,9,10,10,5,8,7,8,9,10,7,8,9,9
62,yirtqich,yovvoyi,ADJ,92,syn,high,8,10,10,10,9,10,8,9,9,10,7,8,8,9,10,10,6,7,8,8,8,9,8,9
63,mayda,kichik,ADJ,87,syn,high,9,10,8,8,5,6,6,7,5,6,7,8,8,9,4,7,4,6,9,8,8,9,6,6
64,samarador,foydali,ADJ,87,syn,high,8,9,6,8,7,8,8,8,7,9,8,9,10,5,6,9,6,8,9,8,8,9,8,8
65,nosoz,buzuq,ADJ,86,syn,high,9,10,10,10,8,8,8,9,8,8,9,9,9,9,7,9,9,9,9,8,8,9,5,9
66,uyg'oq,bedor,ADJ,86,syn,high,8,9,9,9,7,8,8,8,9,10,8,8,8,10,9,10,9,9,8,8,7,8,4,9
67,shaffof,tiniq,ADJ,85,syn,high,10,10,9,10,8,9,9,8,8,9,9,10,10,10,6,8,7,9,10,9,8,8,5,9
68,hosildor,serhosil,ADJ,74,syn,high,10,10,8,9,8,9,9,10,7,8,9,9,9,10,7,10,9,10,8,8,8,9,8,9
69,dumaloq,yumaloq,ADJ,61,syn,high,10,10,8,8,7,8,8,8,8,9,7,8,8,9,6,9,7,8,8,10,8,9,6,8
70,manfaatli,foydali,ADJ,61,syn,high,8,9,8,9,7,8,7,9,9,9,9,10,9,9,6,9,8,8,6,10,8,9,6,6
71,charog'on,yorug',ADJ,59,syn,high,7,8,9,9,7,8,8,8,8,9,8,9,6,8,5,8,7,8,8,8,8,8,5,6
72,tansiq,mazali,ADJ,59,syn,high,8,9,9,10,7,9,5,7,6,7,8,9,7,8,6,8,8,9,8,8,6,8,6,8
73,devona,telba,ADJ,57,syn,high,9,9,9,9,4,8,4,6,5,7,8,8,8,9,8,9,7,8,8,8,8,9,7,8
74,g'amgin,xafa,ADJ,57,syn,high,9,9,9,9,9,9,6,8,8,9,8,9,4,6,4,9,7,8,8,7,7,8,6,8
75,serqatnov,gavjum,ADJ,54,syn,high,9,9,7,8,5,6,4,7,5,8,9,9,10,10,3,6,1,5,8,8,8,8,8,8
76,tuganmas,abadiy,ADJ,51,syn,high,9,9,6,7,5,7,4,7,4,5,8,9,8,9,2,4,3,6,0,7,8,8,8,9
77,ajabtovur,g'ayritabiiy,ADJ,50,syn,high,8,9,9,9,9,9,8,8,9,8,9,10,9,9,6,9,9,9,8,8,8,9,8,9
78,chidamli,mustahkam,ADJ,50,syn,high,10,10,8,9,8,9,6,8,6,8,8,9,7,8,7,9,6,7,9,8,8,9,8,8
79,dangasa,yalqov,ADJ,50,syn,high,9,10,10,10,8,8,9,10,8,10,8,9,9,9,9,10,9,10,5,7,7,8,6,9
80,benuqson,zararsiz,ADJ,44,syn,med,8,9,9,9,7,9,7,8,8,8,6,6,7,8,4,7,9,10,9,8,8,9,2,6
81,dovyurak,botir,ADJ,44,syn,med,10,10,10,10,9,9,7,9,7,8,9,9,10,10,8,10,8,8,6,7,8,9,9,9
82,mayib,yarador,ADJ,44,syn,med,8,9,7,7,6,8,3,7,6,9,8,8,5,7,2,6,3,5,8,8,8,9,3,9
83,totuv,inoq,ADJ,44,syn,med,8,8,10,10,8,9,9,9,9,10,9,10,9,10,9,10,7,8,3,8,7,8,4,9
84,ajnabiy,xorijiy,ADJ,42,syn,med,8,9,9,9,6,7,9,9,5,7,8,10,8,9,8,10,6,7,8,7,7,8,5,8
85,sevikli,suyukli,ADJ,41,syn,med,8,9,9,10,8,8,8,10,7,8,9,9,9,10,7,9,8,9,8,10,8,9,8,9
86,manfur,razil,ADJ,37,syn,med,6,7,8,9,6,7,6,8,7,8,4,4,6,8,9,9,8,9,8,7,7,9,8,9
87,malla,sariq,ADJ,31,syn,med,9,10,8,8,6,8,6,8,2,8,8,10,5,7,4,6,6,7,8,8,6,8,6,8
88,dang'illama,hashamatli,ADJ,30,syn,med,9,9,6,8,6,7,6,8,5,8,9,9,4,6,3,5,6,7,8,8,7,8,4,6
89,havoyi,yuzaki,ADJ,30,syn,med,8,9,7,9,7,7,7,8,6,8,5,4,2,10,3,5,4,7,2,9,7,8,3,8
90,uchqur,chopqir,ADJ,30,syn,med,8,8,9,9,8,8,9,9,9,9,10,10,7,10,8,9,7,9,8,8,7,8,8,8
91,surunkali,doimiy,ADJ,29,syn,med,9,10,7,7,6,7,6,7,7,8,10,10,4,6,2,6,4,6,3,6,8,9,3,8
92,taqchil,noyob,ADJ,29,syn,med,7,9,9,9,7,9,9,10,6,9,8,8,6,9,1,7,9,9,8,8,7,8,8,9
93,topqir,zukko,ADJ,29,syn,med,8,9,9,9,9,9,6,8,6,9,9,10,8,9,3,8,9,9,8,10,8,9,6,8
94,behalovat,bezovta,ADJ,28,syn,med,10,10,8,9,8,9,7,8,8,8,9,10,10,10,5,9,7,7,2,6,8,9,7,8
95,biyron,sergap,ADJ,28,syn,med,9,10,7,8,7,8,4,5,8,8,8,7,10,10,4,8,1,5,2,9,8,9,9,9
96,kasalmant,dardmand,ADJ,27,syn,oov2,9,10,7,8,9,9,7,9,8,10,8,9,9,9,8,8,10,10,7,9,8,9,9,9
97,arzanda,erkatoy,ADJ,25,syn,med,9,10,7,9,8,9,8,9,7,8,8,9,8,9,6,9,10,10,9,7,8,9,8,9
98,mislsiz,cheksiz,ADJ,25,syn,med,10,10,9,10,8,8,8,8,8,9,9,10,9,10,6,7,8,9,9,8,3,5,8,8
99,kamsuqum,kamtar,ADJ,24,syn,med,8,9,9,9,8,8,7,9,8,8,9,10,8,9,9,10,8,8,6,9,7,8,3,6
100,qaqshatqich,daxshatli,ADJ,24,syn,med,9,9,6,8,7,8,7,9,6,6,6,7,4,6,3,5,3,4,6,7,7,8,3,8
101,xatarli,qo'rqinchli,ADJ,24,syn,med,9,10,5,6,7,8,4,6,4,5,9,10,4,6,4,9,1,6,4,6,8,8,7,9
102,abgor,xarob,ADJ,23,syn,med,10,10,8,9,6,7,7,7,8,8,7,8,9,10,10,10,7,8,9,8,8,9,8,9
103,hokisor,qamsuqum,ADJ,23,syn,oov2,8,9,8,8,7,8,6,7,8,10,8,8,4,6,9,10,8,9,5,7,8,9,8,8
104,serunum,hosildor,ADJ,23,syn,med,10,10,9,10,8,10,9,9,7,8,9,9,7,9,9,9,9,9,8,9,7,8,6,8
105,dongdor,nomdor,ADJ,22,syn,med,9,10,8,9,7,7,4,5,6,9,8,9,6,7,6,7,4,5,8,7,8,9,9,9
106,noqobil,axloqsiz,ADJ,22,syn,med,9,9,7,7,8,8,8,8,7,9,8,9,4,6,4,7,6,6,6,7,7,8,4,8
107,horg'in,charchagan,ADJ,21,syn,med,9,10,7,9,9,9,8,8,8,8,7,7,7,9,8,10,9,9,8,8,8,9,8,8
108,mujmal,noaniq,ADJ,21,syn,med,9,10,9,9,8,9,8,9,8,7,9,10,10,7,7,9,7,9,8,8,7,8,9,9
109,harir,nozik,ADJ,20,syn,med,7,9,7,8,7,7,7,8,6,8,8,10,8,9,3,6,3,4,2,6,7,8,6,8
110,zangori,ko'k,ADJ,20,syn,med,9,10,7,8,8,9,7,8,8,8,8,10,8,9,6,9,6,8,4,6,8,8,7,8
111,beorom,behalovat,ADJ,19,syn,med,10,10,9,9,6,8,8,9,8,9,8,9,8,9,4,6,9,10,2,6,7,8,9,9
112,huzurbaxsh,orombaxsh,ADJ,19,syn,med,10,10,10,10,8,8,9,10,9,9,8,7,10,10,9,10,9,9,6,8,7,8,6,6
113,mazali,shirin,ADJ,19,syn,med,10,10,7,9,8,9,5,9,9,10,8,9,9,10,4,6,5,6,8,8,8,9,9,9
114,mubolag'asiz,shubhasiz,ADJ,19,syn,med,10,10,7,8,7,8,8,9,9,10,0,2,9,9,7,9,9,10,8,10,8,9,8,10
115,odmi,oddiy,ADJ,19,syn,med,8,9,4,6,4,5,3,4,3,4,9,10,4,6,2,6,2,3,0,2,7,9,9,9
116,o'zgarmas,doimiy,ADJ,19,syn,med,10,10,9,9,5,6,4,7,4,6,8,9,3,5,8,10,3,5,2,8,7,8,3,9
117,sadoqatli,vafoli,ADJ,19,syn,med,9,10,9,9,8,9,10,10,9,10,10,10,8,9,7,10,9,10,8,6,8,9,7,8
118,tortinchoq,uyatchan,ADJ,19,syn,med,9,10,6,7,7,7,8,8,9,9,7,8,10,10,5,9,7,8,8,7,8,9,8,9
119,hozirgi,mazkur,ADJ,8287,syn,high,7,8,8,9,6,7,8,8,7,9,4,9,5,6,4,7,3,4,8,8,8,9,8,9
120,burro,biyron,ADJ,18,syn,med,10,10,7,9,7,7,5,7,8,9,8,9,7,8,10,10,9,10,8,6,8,9,3,5
121,darbadar,daydi,ADJ,18,syn,med,8,9,6,6,8,9,8,9,8,9,9,8,8,9,6,8,9,9,8,7,7,9,8,9
122,xotamtoy,saxiy,ADJ,18,syn,oov2,8,9,8,9,7,8,9,10,8,9,10,10,7,8,6,9,7,9,8,9,8,9,3,6
123,darg'azab,badjahl,ADJ,17,syn,med,9,10,9,9,7,8,9,9,9,10,6,9,7,9,8,10,8,8,8,8,8,9,8,9
124,hashamdor,ko'rkam,ADJ,13,syn,med,9,9,6,6,5,5,3,5,4,6,10,10,3,5,4,7,3,5,8,7,8,9,8,8
125,nikohsiz,benikoh,ADJ,13,syn,med,8,9,10,10,8,9,8,9,8,9,9,10,8,10,9,10,1,10,8,8,8,9,6,9
126,ohangdor,jarangdor,ADJ,13,syn,med,8,9,8,8,6,7,7,8,6,7,7,8,7,9,4,7,4,6,6,9,7,8,7,8
127,o'ng'ay,bemalol,ADJ,13,syn,med,7,7,8,9,6,7,7,7,3,6,9,9,4,6,2,6,6,8,9,9,8,8,3,6
128,qayg'uli,g'amgin,ADJ,13,syn,med,9,9,9,9,7,8,7,8,4,6,8,9,10,10,3,6,6,7,8,8,8,9,4,6
129,beziyon,zararsiz,ADJ,12,syn,med,10,10,9,10,9,10,8,9,7,8,8,9,8,9,4,7,6,7,8,7,8,8,7,9
130,dardmand,bemor,ADJ,12,syn,med,10,10,8,8,8,8,9,8,9,9,8,9,4,8,7,9,6,7,8,8,8,9,6,9
131,ruxsatsiz,iznsiz,ADJ,12,syn,med,8,9,10,10,8,9,9,9,8,9,9,9,7,8,9,10,8,9,4,8,8,8,7,8
132,serzavq,rohatbaxsh,ADJ,12,syn,med,8,10,9,9,8,9,8,9,6,8,8,9,6,8,6,9,9,9,8,10,8,9,9,9
133,takabbur,manman,ADJ,12,syn,med,10,10,9,10,8,9,9,9,8,9,8,9,8,10,8,10,8,9,8,2,3,5,8,9
134,xomush,xafaqon,ADJ,12,syn,med,9,9,6,6,7,9,6,8,8,7,8,10,4,7,4,7,5,6,8,8,8,8,8,9
135,afzal,muhim,ADJ,11,syn,med,9,10,3,4,5,5,4,5,3,5,4,9,10,10,3,6,2,4,8,7,7,8,6,8
136,badjahl,g'azabli,ADJ,11,syn,med,10,10,8,10,6,8,7,7,9,9,9,9,6,8,6,7,9,10,7,8,7,9,8,9
137,bardam,tetik,ADJ,11,syn,med,9,10,9,10,6,7,8,8,8,9,9,9,7,8,9,10,6,9,2,6,8,9,8,9
138,beparda,to'siqsiz,ADJ,11,syn,med,7,9,7,9,6,8,3,4,7,9,1,4,6,6,4,8,5,5,8,7,6,8,8,9
139,cho'zinchoq,uzunchoq,ADJ,11,syn,med,9,9,7,8,5,7,4,5,3,5,8,9,4,6,2,6,3,5,8,9,7,8,3,8
140,keskir,o'tkir,ADJ,11,syn,med,9,10,8,9,7,8,5,7,8,9,9,10,7,9,8,10,7,8,8,8,7,8,6,8
141,mavxum,yashirin,ADJ,11,syn,med,9,9,5,6,5,6,3,6,7,8,8,8,8,9,4,9,6,7,2,8,4,8,7,9
142,paxlavon,kuchli,ADJ,11,syn,med,8,9,7,9,7,8,4,6,6,8,8,9,9,10,2,4,6,7,7,8,8,9,6,8
143,shiddatli,jadal,ADJ,11,syn,med,8,9,8,8,7,8,6,8,7,8,8,8,7,8,3,6,4,6,6,8,4,5,4,6
144,yumuq,berk,ADJ,11,syn,med,7,9,5,6,7,8,6,6,7,8,7,8,7,8,1,3,0,9,8,7,3,5,5,5
145,berahm,zolim,ADJ,10,syn,med,9,9,7,9,7,7,7,9,7,8,10,10,10,10,2,5,7,7,8,8,7,9,6,6
146,bilag'on,bilimdon,ADJ,10,syn,med,9,10,8,9,9,9,9,9,8,9,9,10,6,8,8,10,8,9,2,0,7,8,8,8
147,saxovatli,saxiy,ADJ,10,syn,med,9,9,8,8,6,8,8,9,8,8,8,9,8,9,7,10,8,8,6,7,8,8,3,6
148,unsiz,tovushsiz,ADJ,10,syn,med,9,9,9,10,6,8,8,9,8,8,8,10,6,8,4,7,6,6,10,10,8,9,7,9
149,zararsiz,bezarar,ADJ,10,syn,med,10,10,10,10,8,9,8,8,8,8,9,9,9,10,9,10,8,9,9,9,8,10,9,9
150,aqlsiz,tentak,ADJ,9,syn,med,8,9,7,7,6,8,6,8,6,7,1,10,7,9,6,9,8,8,9,8,8,9,6,7
151,behol,madorsiz,ADJ,9,syn,med,9,10,9,10,9,9,9,9,9,10,8,9,10,10,5,8,7,8,6,7,8,9,6,8
152,daroz,uzun,ADJ,9,syn,med,6,8,5,5,5,6,4,5,4,5,7,8,3,4,3,6,3,5,8,9,8,9,7,8
153,ilmli,bilimli,ADJ,9,syn,med,10,10,8,8,8,9,8,9,9,10,9,9,8,10,9,10,9,9,8,8,7,9,9,9
154,isqirt,iflos,ADJ,9,syn,med,8,8,5,7,6,7,6,7,7,8,7,7,5,6,5,8,8,9,8,6,8,9,9,9
155,sehrli,jozibali,ADJ,9,syn,med,7,9,6,7,6,7,6,8,5,8,6,8,8,8,7,9,8,8,5,8,8,9,6,8
156,sergap,ezma,ADJ,9,syn,med,8,9,7,8,6,7,8,9,5,7,9,10,7,10,3,5,4,5,7,6,7,8,3,6
157,serhasham,hashamdor,ADJ,9,syn,med,10,10,9,9,8,8,9,9,8,9,7,8,7,9,7,10,4,6,8,10,7,8,8,8
158,totli,shirin,ADJ,9,syn,med,9,10,7,7,5,6,6,8,9,10,8,10,7,9,6,9,8,8,9,8,7,9,9,10
159,unumli,barakali,ADJ,9,syn,med,7,9,7,8,6,7,9,9,6,8,8,8,7,8,7,10,8,9,8,8,7,8,9,9
160,hayosiz,sharmsiz,ADJ,8,syn,med,9,10,9,10,9,9,9,9,8,9,9,10,8,9,7,10,9,9,8,10,8,9,6,8
161,ko'rimli,ko'rkam,ADJ,8,syn,med,7,9,9,9,8,9,7,8,7,9,7,7,9,9,4,7,6,8,8,9,2,5,8,8
162,pog'onali,bosqichli,ADJ,8,syn,med,6,9,8,9,7,9,7,8,4,5,9,10,6,8,5,9,6,6,8,7,7,8,8,8
163,qayishqoq,egiluvchan,ADJ,8,syn,med,9,10,8,9,4,6,6,7,6,8,9,9,7,8,6,10,4,5,8,8,7,8,8,9
164,shijoatli,shaxdam,ADJ,8,syn,med,8,10,8,9,6,7,6,7,9,9,7,8,4,6,4,7,8,9,7,8,8,9,9,9
165,uyushqoq,hamjihat,ADJ,8,syn,med,8,10,9,9,9,9,8,9,8,8,6,8,9,10,7,10,4,5,2,6,7,8,8,9
166,vaznli,og'ir,ADJ,8,syn,med,9,10,6,7,3,4,3,8,8,10,8,9,2,5,2,4,2,5,8,7,8,9,3,8
167,bilimli,zakovatli,ADJ,7,syn,med,9,9,9,9,8,9,9,8,8,9,7,7,9,10,6,8,9,10,10,10,7,8,6,8
168,bukiluvchan,egiluvchan,ADJ,7,syn,med,9,9,8,9,7,8,4,9,7,8,9,10,8,8,6,9,7,7,9,9,8,9,8,9
169,chapdast,epchil,ADJ,7,syn,med,8,9,9,10,8,9,9,9,8,8,8,8,7,9,10,10,8,9,8,7,7,8,7,8
170,daraksiz,bexabar,ADJ,7,syn,med,7,9,10,10,7,9,6,8,7,8,9,9,7,8,8,10,6,7,8,7,8,9,9,9
171,daromadli,foydali,ADJ,7,syn,med,7,9,9,9,8,7,8,9,9,9,8,8,6,9,5,8,6,7,6,8,7,9,9,9
172,halqasimon,doirasimon,ADJ,7,syn,med,8,9,7,9,8,8,7,8,6,6,8,9,6,7,8,10,6,7,2,8,8,9,6,9
173,pahmoq,yumshoq,ADJ,7,syn,oov2,8,10,7,8,8,9,6,7,4,6,7,9,3,6,3,7,4,5,3,5,8,9,8,9
174,rejali,tartibli,ADJ,7,syn,med,7,8,9,9,7,8,6,7,9,9,7,7,9,9,2,5,6,8,8,10,7,8,6,7
175,vaysaqi,ezma,ADJ,7,syn,med,8,9,5,7,8,7,3,5,8,8,8,8,6,7,5,7,9,10,3,5,8,9,4,5
176,xushvaqt,xursand,ADJ,7,syn,med,9,10,9,9,7,8,7,6,7,9,8,9,8,10,6,8,10,10,8,9,8,8,8,9
177,axloqsiz,odobsiz,ADJ,6,syn,med,9,10,7,8,7,8,7,8,8,8,9,10,9,10,9,9,8,9,8,9,7,8,8,9
178,beor,nomussiz,ADJ,6,syn,med,9,10,8,9,7,8,7,8,6,8,8,9,9,9,7,10,7,7,8,8,7,8,3,8
179,dumbul,yalqov,ADJ,6,syn,med,8,9,6,8,8,9,9,10,6,8,8,9,7,8,4,8,3,5,6,8,8,9,3,9
180,chalajon,nimjon,ADJ,3,syn,low,8,9,10,10,8,9,7,8,9,9,8,9,6,7,6,9,7,9,8,7,8,9,8,9
181,dardli,musibatli,ADJ,3,syn,low,10,10,9,10,6,8,8,9,8,9,8,9,8,9,4,7,6,9,8,8,7,8,7,8
182,kamhosil,unumsiz,ADJ,3,syn,low,9,10,5,6,6,7,7,8,6,8,9,9,10,10,5,7,3,5,2,6,8,9,3,6
183,munozarali,bahsli,ADJ,3,syn,low,10,10,6,8,7,7,8,9,6,8,9,9,6,7,6,9,6,6,8,8,8,9,8,9
184,gapdon,biyron,ADJ,1,syn,low,9,10,9,9,7,8,6,7,4,6,8,10,8,9,9,10,9,9,8,0,7,8,4,6
185,go'shtxo'r,yirtqich,ADJ,1,syn,oov,7,9,8,10,6,8,4,7,3,8,6,8,9,10,5,7,4,8,3,5,7,9,7,9
186,husndor,chiroyli,ADJ,1,syn,low,8,10,9,10,6,6,7,9,7,9,8,9,7,10,6,9,9,8,8,9,8,9,9,9
187,lazzatli,mazali,ADJ,1,syn,low,10,10,9,9,8,8,10,10,7,8,10,10,8,9,8,10,9,9,8,9,8,8,9,10
188,maymoq,paxmoq,ADJ,1,syn,low,8,9,6,6,6,6,3,4,2,8,8,10,7,8,4,7,4,5,3,6,7,9,3,6
189,mojaroviy,janjalli,ADJ,1,syn,oov,8,8,8,8,7,8,8,10,6,8,8,8,6,7,6,8,3,5,9,9,8,8,8,9
190,mungli,qayg'uli,ADJ,1,syn,low,7,8,7,8,7,9,6,7,8,8,7,8,4,6,8,10,7,8,9,8,7,8,6,7
