ID,Word-1,Word-2,Relation,POS,sim_avg,rel_avg,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
656,yupqa,nozik,syn,ADJ,7.00,7.82,7,8,6,8,7,6,6,7,6,8,8,9,9,8,8,8,8,8,7,6,6,9
657,yakka,birgina,syn,ADJ,7.00,7.64,8,7,7,6,8,7,6,8,6,8,6,9,7,8,7,6,8,8,9,6,8,8
658,hayoli,iboli,syn,ADJ,8.55,9.36,8,9,8,9,8,8,9,9,10,8,8,9,9,9,10,8,9,10,10,10,10,9
659,suveren,mustaqil,syn,ADJ,8.09,8.82,7,10,7,9,9,8,8,8,8,8,7,9,10,8,8,10,9,9,8,9,8,9
660,telba,nodon,syn,ADJ,8.36,9.27,8,7,8,9,9,7,9,9,10,8,8,10,9,10,9,8,8,9,9,10,9,11
661,chiroyli,latofatli,syn,ADJ,7.91,8.73,10,9,7,7,8,7,8,9,9,6,7,10,9,8,8,8,8,9,10,9,8,9
662,samoviy,fazoviy,syn,ADJ,8.45,9.09,9,9,9,9,9,8,9,6,8,8,9,9,9,10,9,10,8,10,8,9,10,8
663,betob,bemor,syn,ADJ,8.45,8.45,10,7,8,9,9,7,8,10,9,8,8,10,9,8,10,9,8,6,8,9,8,8
664,tetik,ildam,syn,ADJ,7.55,8.09,8,6,6,8,9,8,6,9,7,8,8,9,7,6,9,8,8,8,10,8,8,8
665,barxayot,abadiy,syn,ADJ,7.64,8.64,8,9,7,8,8,7,9,6,6,8,8,9,9,9,9,8,8,9,9,8,8,9
666,uyushgan,birlashgan,syn,ADJ,7.36,8.18,7,9,6,8,7,8,6,8,6,8,8,9,9,7,8,8,8,8,9,7,8,9
667,mahbus,tutqin,syn,ADJ,8.27,9.09,9,9,9,8,8,8,7,10,8,8,7,10,10,10,8,9,9,9,10,9,8,8
668,unumdor,hosildor,syn,ADJ,8.73,9.18,8,9,9,10,9,8,9,10,7,8,9,9,10,9,10,8,8,10,10,8,9,10
669,ayovsiz,shafqatsiz,syn,ADJ,8.18,9.18,9,10,8,7,8,8,9,7,8,8,8,10,10,9,8,9,9,10,9,9,9,9
670,ziyrak,chaqqon,syn,ADJ,7.82,8.27,9,9,9,9,8,7,7,7,7,8,6,9,9,7,10,9,7,9,7,9,6,9
671,nopok,iflos,syn,ADJ,8.00,8.82,9,8,6,6,8,8,10,8,7,9,9,10,8,8,9,8,9,10,8,8,10,9
672,yirtqich,yovvoyi,syn,ADJ,8.27,9.09,8,10,9,8,9,7,8,10,6,8,8,10,10,10,9,10,8,9,10,7,8,9
673,mayda,kichik,syn,ADJ,7.64,7.18,9,8,9,6,9,7,8,7,6,9,6,8,8,6,7,6,8,9,7,6,8,6
674,samarador,foydali,syn,ADJ,7.55,8.27,8,6,7,8,7,8,10,6,6,9,8,9,8,8,8,9,9,7,9,8,8,8
675,nosoz,buzuq,syn,ADJ,8.36,8.91,9,10,8,8,8,9,9,7,9,9,6,10,10,8,9,8,9,9,9,9,8,9
676,uyg'oq,bedor,syn,ADJ,8.09,8.91,8,9,7,8,9,8,8,9,9,8,6,9,9,8,8,10,8,10,10,9,8,9
677,shaffof,tiniq,syn,ADJ,9.09,9.18,10,9,8,9,8,9,10,10,7,10,10,10,10,9,8,9,10,10,8,9,9,9
678,hosildor,serhosil,syn,ADJ,8.36,9.27,10,8,8,9,7,9,9,7,9,8,8,10,9,9,10,8,9,10,10,10,8,9
679,dumaloq,yumaloq,syn,ADJ,7.55,8.64,10,8,7,8,8,7,8,6,7,8,6,10,8,8,8,9,8,9,9,8,10,8
680,manfaatli,foydali,syn,ADJ,7.55,9.18,8,8,7,7,9,9,9,6,8,6,6,9,9,8,9,9,10,9,9,8,10,11
681,charog'on,yorug',syn,ADJ,7.55,8.09,7,9,7,8,8,8,6,8,7,8,7,8,9,8,8,9,9,8,8,8,8,6
682,tansiq,mazali,syn,ADJ,7.27,8.36,8,9,7,7,6,8,7,6,8,8,6,9,10,9,7,7,9,8,8,9,8,8
683,devona,telba,syn,ADJ,8.00,8.09,9,9,8,10,6,8,8,8,7,8,7,9,9,8,6,7,8,9,9,8,8,8
684,g'amgin,xafa,syn,ADJ,7.73,8.27,9,9,9,6,8,8,9,6,7,8,6,9,9,9,8,9,9,6,9,8,7,8
685,serqatnov,gavjum,syn,ADJ,8.27,7.73,9,7,7,7,8,9,10,9,9,8,8,9,8,6,7,8,9,10,6,6,8,8
686,tuganmas,abadiy,syn,ADJ,7.82,7.82,9,6,8,8,7,8,8,7,8,9,8,9,7,7,7,10,9,9,6,6,7,9
687,ajabtovur,g'ayritabiiy,syn,ADJ,8.36,8.82,8,9,9,8,9,9,9,6,9,8,8,9,9,9,8,8,10,9,9,9,8,9
688,chidamli,mustahkam,syn,ADJ,7.55,8.45,10,8,8,6,6,8,7,7,6,9,8,10,9,9,8,8,9,8,9,7,8,8
689,dangasa,yalqov,syn,ADJ,8.27,9.27,9,10,8,9,8,8,9,9,9,6,6,10,10,8,10,10,9,9,10,10,7,9
690,benuqson,zararsiz,syn,ADJ,8.00,8.00,8,9,7,7,8,6,7,9,9,9,9,9,9,9,8,8,6,8,7,10,8,6
691,dovyurak,botir,syn,ADJ,8.45,9.00,10,10,9,7,7,9,10,8,8,6,9,10,10,9,9,8,9,10,10,8,7,9
692,mayib,yarador,syn,ADJ,7.64,7.73,8,7,6,9,6,8,8,8,8,8,8,9,7,8,7,9,8,7,6,7,8,9
693,totuv,inoq,syn,ADJ,8.73,9.18,8,10,8,9,9,9,9,9,7,8,10,8,10,9,9,10,10,10,10,8,8,9
694,ajnabiy,xorijiy,syn,ADJ,8.00,8.36,8,9,6,9,9,8,8,8,6,8,9,9,9,7,9,7,10,9,10,7,7,8
695,sevikli,suyukli,syn,ADJ,8.09,9.18,8,9,8,8,7,9,9,7,8,8,8,9,10,8,10,8,9,10,9,9,10,9
696,manfur,razil,syn,ADJ,7.36,7.91,6,8,6,6,7,9,6,9,8,8,8,7,9,7,8,8,6,8,9,9,7,9
697,malla,sariq,syn,ADJ,7.55,8.00,9,8,6,6,7,8,9,10,6,8,6,10,8,8,8,8,10,7,6,7,8,8
698,dang'illama,hashamatli,syn,ADJ,7.00,7.82,9,6,6,6,5,9,6,7,6,8,9,9,8,7,8,8,9,6,10,7,8,6
699,havoyi,yuzaki,syn,ADJ,7.00,8.18,8,7,7,7,6,6,8,6,7,6,9,9,9,7,8,8,7,10,8,7,9,8
700,uchqur,chopqir,syn,ADJ,8.27,8.82,8,9,8,9,9,10,7,8,7,8,8,8,9,8,9,9,10,10,9,9,8,8
701,surunkali,doimiy,syn,ADJ,8.00,6.73,9,7,6,6,7,10,9,9,9,8,8,5,7,7,7,8,8,6,6,6,6,8
702,taqchil,noyob,syn,ADJ,7.73,8.73,7,9,7,9,6,8,6,8,9,8,8,9,9,9,10,9,8,9,7,9,8,9
703,topqir,zukko,syn,ADJ,8.00,8.91,8,9,9,6,6,9,8,10,9,8,6,9,9,9,8,9,10,9,8,9,10,8
704,behalovat,bezovta,syn,ADJ,8.18,9.00,10,8,8,7,8,9,10,8,7,8,7,10,9,9,8,8,10,10,9,7,11,8
705,biyron,sergap,syn,ADJ,8.45,8.55,9,7,7,9,8,8,10,9,9,8,9,10,8,8,10,8,7,10,8,7,9,9
706,kasalmant,dardmand,syn,ADJ,8.27,9.09,9,7,9,7,8,8,9,8,10,7,9,10,8,9,9,10,9,9,8,10,9,9
707,arzanda,erkatoy,syn,ADJ,8.00,8.91,9,7,8,8,7,8,8,6,10,9,8,10,9,9,9,8,9,9,9,10,7,9
708,mislsiz,cheksiz,syn,ADJ,8.36,8.82,10,9,8,8,8,9,9,6,8,9,8,10,10,8,8,9,10,10,7,9,8,8
709,kamsuqum,kamtar,syn,ADJ,7.82,8.73,8,9,8,7,8,9,8,9,8,6,6,9,9,8,9,8,10,9,10,8,9,7
710,qaqshatqich,daxshatli,syn,ADJ,6.55,7.55,9,6,7,7,6,6,7,6,6,6,6,9,8,8,9,6,7,6,7,8,7,8
711,xatarli,qo'rqinchli,syn,ADJ,8.36,7.64,9,9,7,9,9,9,8,8,8,9,7,10,6,8,6,8,10,6,9,6,6,9
712,abgor,xarob,syn,ADJ,8.09,8.55,10,8,6,7,8,7,9,10,7,9,8,10,9,7,7,8,8,10,10,8,8,9
713,hokisor,qamsuqum,syn,ADJ,7.82,8.18,8,8,7,6,8,8,8,9,8,8,8,9,8,8,7,10,8,6,10,9,7,8
714,serunum,hosildor,syn,ADJ,8.27,9.09,10,9,8,9,7,9,7,9,9,8,6,10,10,10,9,8,9,9,9,9,9,8
715,dongdor,nomdor,syn,ADJ,7.36,7.91,9,8,7,6,6,8,6,6,8,8,9,10,9,7,7,9,9,7,7,6,7,9
716,noqobil,axloqsiz,syn,ADJ,7.36,7.64,9,7,8,8,7,8,7,6,6,6,9,9,7,8,8,9,9,6,7,6,7,8
717,horg'in,charchagan,syn,ADJ,8.00,8.64,9,7,9,8,8,7,7,8,9,8,8,10,9,9,8,8,7,9,10,9,8,8
718,mujmal,noaniq,syn,ADJ,8.36,8.73,9,9,8,8,8,9,10,7,7,8,9,10,9,9,9,7,10,7,9,9,8,9
719,harir,nozik,syn,ADJ,7.36,8.00,7,7,7,7,6,8,8,9,8,8,6,9,8,7,8,8,10,9,6,9,6,8
720,zangori,ko'k,syn,ADJ,7.36,8.45,9,7,8,7,8,8,8,6,6,7,7,10,8,9,8,8,10,9,9,8,6,8
721,beorom,behalovat,syn,ADJ,8.45,9.09,10,9,6,8,8,8,8,9,9,9,9,10,9,8,9,9,9,9,10,10,8,9
722,huzurbaxsh,orombaxsh,syn,ADJ,9.18,9.00,10,10,8,9,9,8,10,9,9,10,9,10,10,8,10,9,7,10,10,9,8,8
723,mazali,shirin,syn,ADJ,8.27,8.91,10,7,8,7,9,8,9,9,7,8,9,10,9,9,9,10,9,10,8,7,8,9
724,mubolag'asiz,shubhasiz,syn,ADJ,8.18,9.18,10,7,7,8,9,8,9,7,9,8,8,10,8,8,9,10,8,9,9,10,10,10
725,odmi,oddiy,syn,ADJ,7.73,8.00,8,7,7,7,8,9,7,8,8,7,9,9,6,7,10,8,10,6,6,7,10,9
726,o'zgarmas,doimiy,syn,ADJ,8.00,8.45,10,9,7,7,7,8,7,8,8,8,9,10,9,6,7,6,9,10,10,9,8,9
727,sadoqatli,vafoli,syn,ADJ,8.55,9.55,9,9,8,10,9,10,8,7,9,8,7,10,9,9,10,10,10,9,10,10,10,8
728,tortinchoq,uyatchan,syn,ADJ,7.91,8.36,9,6,7,8,9,7,10,8,7,8,8,10,7,7,8,9,8,10,9,8,7,9
729,burro,biyron,syn,ADJ,8.18,8.27,10,7,7,8,8,8,7,10,9,8,8,10,9,7,7,9,9,8,10,10,6,6
730,darbadar,daydi,syn,ADJ,7.82,8.36,8,6,8,8,8,9,8,6,9,8,8,9,6,9,9,9,8,9,8,9,7,9
731,xotamtoy,saxiy,syn,ADJ,7.91,9.09,8,8,7,9,8,10,7,6,7,8,9,9,9,8,10,9,10,8,9,9,9,10
732,darg'azab,badjahl,syn,ADJ,8.00,9.00,9,9,7,9,9,6,7,8,8,8,8,10,9,8,9,10,9,9,10,8,8,9
733,hashamdor,ko'rkam,syn,ADJ,7.82,6.91,9,6,7,7,8,10,7,7,9,8,8,9,6,8,8,6,5,6,7,6,7,8
734,nikohsiz,benikoh,syn,ADJ,8.18,9.36,8,10,8,8,8,9,8,9,8,8,6,9,10,9,9,9,10,10,10,10,8,9
735,ohangdor,jarangdor,syn,ADJ,6.82,7.82,8,8,6,7,6,7,7,7,6,6,7,9,8,7,8,7,8,9,7,6,9,8
736,o'ng'ay,bemalol,syn,ADJ,7.91,7.27,7,8,6,7,8,9,9,9,6,9,9,7,9,7,7,6,9,6,6,8,9,6
737,qayg'uli,g'amgin,syn,ADJ,8.27,7.82,9,9,7,7,9,8,10,9,6,8,9,9,9,8,8,6,9,10,6,7,8,6
738,beziyon,zararsiz,syn,ADJ,8.09,8.64,10,9,9,8,7,8,8,9,6,8,7,10,10,10,9,8,9,9,7,7,7,9
739,dardmand,bemor,syn,ADJ,7.73,8.45,10,8,8,9,9,8,6,7,6,8,6,10,8,8,8,9,9,8,9,7,8,9
740,ruxsatsiz,iznsiz,syn,ADJ,8.45,8.91,8,10,8,9,8,9,7,9,8,10,7,9,10,9,9,9,9,8,10,9,8,8
741,serzavq,rohatbaxsh,syn,ADJ,7.73,9.00,8,9,8,8,6,8,6,6,9,8,9,10,9,9,9,8,9,8,9,9,10,9
742,takabbur,manman,syn,ADJ,8.36,9.27,10,9,8,9,8,8,8,8,8,8,8,10,10,9,9,9,9,10,10,9,8,9
743,xomush,xafaqon,syn,ADJ,7.73,7.82,9,6,7,6,8,8,8,7,10,8,8,9,6,9,8,7,10,7,7,6,8,9
744,afzal,muhim,syn,ADJ,8.45,7.82,9,7,8,9,7,8,10,9,9,8,9,10,7,8,7,8,9,10,6,6,7,8
745,badjahl,g'azabli,syn,ADJ,7.73,8.64,10,8,6,7,9,9,6,6,9,7,8,10,10,8,7,9,9,8,7,10,8,9
746,bardam,tetik,syn,ADJ,8.00,9.09,9,9,6,8,8,9,7,9,6,9,8,10,10,7,8,9,9,8,10,9,11,9
747,beparda,to'siqsiz,syn,ADJ,7.55,8.18,7,7,6,10,7,9,6,8,7,8,8,9,9,8,10,9,8,6,8,7,7,9
748,cho'zinchoq,uzunchoq,syn,ADJ,8.27,7.73,9,7,9,9,9,8,8,8,8,8,8,9,8,7,6,10,9,6,6,7,9,8
749,keskir,o'tkir,syn,ADJ,7.64,8.73,9,8,7,7,8,9,7,8,7,8,6,10,9,8,7,9,10,9,10,8,8,8
750,mavxum,yashirin,syn,ADJ,8.09,7.73,9,10,10,7,7,8,8,10,6,7,7,9,6,6,6,8,8,9,9,7,8,9
751,paxlavon,kuchli,syn,ADJ,7.00,8.09,8,7,7,8,6,8,9,5,6,7,6,9,9,8,6,8,9,10,7,7,8,8
752,shiddatli,jadal,syn,ADJ,7.00,7.55,8,8,7,6,7,8,7,7,7,6,6,9,8,8,8,8,8,8,6,6,8,6
753,yumuq,berk,syn,ADJ,7.09,7.73,7,8,7,6,7,7,7,6,7,8,8,9,6,8,6,8,8,8,7,9,7,9
754,berahm,zolim,syn,ADJ,7.73,8.45,9,7,7,7,7,10,10,7,7,8,6,9,9,7,9,8,10,10,10,7,8,6
755,bilag'on,bilimdon,syn,ADJ,8.36,9.09,9,8,9,9,8,9,6,8,8,10,8,10,9,9,9,9,10,8,10,9,9,8
756,saxovatli,saxiy,syn,ADJ,7.64,8.27,9,8,6,8,8,8,8,7,8,6,8,9,8,8,9,8,9,9,10,8,7,6
757,unsiz,tovushsiz,syn,ADJ,7.73,8.64,9,9,6,8,8,8,6,8,6,10,7,9,10,8,9,8,10,8,7,7,10,9
758,zararsiz,bezarar,syn,ADJ,8.82,9.18,10,10,8,8,8,9,9,9,8,9,9,10,10,9,8,8,9,10,10,9,9,9
759,aqlsiz,tentak,syn,ADJ,6.91,8.18,8,7,6,6,6,7,7,6,8,9,6,9,7,8,8,7,10,9,9,8,8,7
760,behol,madorsiz,syn,ADJ,8.00,8.91,9,9,9,9,9,8,10,6,7,6,6,10,10,9,9,10,9,10,8,8,7,8
761,daroz,uzun,syn,ADJ,6.73,7.73,6,7,7,6,6,7,7,7,6,8,7,8,8,6,7,10,8,9,6,6,9,8
762,ilmli,bilimli,syn,ADJ,8.64,9.18,10,8,8,8,9,9,8,9,9,8,9,10,8,9,9,10,9,10,10,9,8,9
763,isqirt,iflos,syn,ADJ,7.18,7.45,8,8,6,6,7,7,6,6,8,8,9,8,7,7,7,8,7,6,8,9,6,9
764,sehrli,jozibali,syn,ADJ,6.82,8.00,7,6,6,6,8,6,8,7,8,7,6,9,7,7,8,8,8,8,9,8,8,8
765,sergap,ezma,syn,ADJ,7.09,8.09,8,7,6,8,6,9,7,7,6,7,7,9,8,7,9,7,10,10,10,7,6,6
766,serhasham,hashamdor,syn,ADJ,8.27,8.82,10,9,8,9,8,7,7,7,10,8,8,10,9,8,9,9,8,9,10,7,10,8
767,totli,shirin,syn,ADJ,7.82,9.00,9,7,8,6,9,8,7,6,8,9,9,10,7,10,8,10,10,9,9,8,8,10
768,unumli,barakali,syn,ADJ,7.45,8.45,7,7,6,9,6,8,7,7,8,8,9,9,8,7,9,8,8,8,10,9,8,9
769,hayosiz,sharmsiz,syn,ADJ,8.27,9.36,9,9,9,9,8,9,8,7,9,8,6,10,10,9,9,9,10,9,10,9,10,8
770,ko'rimli,ko'rkam,syn,ADJ,7.82,8.36,7,9,8,7,7,7,9,10,6,8,8,9,9,9,8,9,7,9,7,8,9,8
771,pog'onali,bosqichli,syn,ADJ,7.09,8.09,6,8,7,7,6,9,6,7,6,8,8,9,9,9,8,6,10,8,9,6,7,8
772,qayishqoq,egiluvchan,syn,ADJ,7.45,8.45,9,8,9,6,6,9,7,6,6,8,8,10,9,6,7,8,9,8,10,9,8,9
773,shijoatli,shaxdam,syn,ADJ,7.64,8.09,8,8,6,6,9,7,10,6,8,7,9,10,9,7,7,9,8,6,7,9,8,9
774,uyushqoq,hamjihat,syn,ADJ,7.91,9.36,8,9,9,8,8,6,9,7,9,6,8,10,9,9,9,8,8,10,10,10,11,9
775,vaznli,og'ir,syn,ADJ,8.00,8.18,9,6,9,9,8,8,9,8,7,8,7,10,7,8,8,10,9,7,6,10,7,8
776,bilimli,zakovatli,syn,ADJ,8.18,8.82,9,9,8,9,8,7,9,6,9,10,6,9,9,9,8,9,7,10,8,10,10,8
777,bukiluvchan,egiluvchan,syn,ADJ,7.82,8.64,9,8,7,8,7,9,8,6,7,9,8,9,9,8,9,8,10,8,9,7,9,9
778,chapdast,epchil,syn,ADJ,8.18,8.73,8,9,8,9,8,8,7,10,8,8,7,9,10,9,9,8,8,9,10,9,7,8
779,daraksiz,bexabar,syn,ADJ,7.64,8.55,7,10,7,6,7,9,7,8,6,8,9,9,10,9,8,8,9,8,10,7,7,9
780,daromadli,foydali,syn,ADJ,7.64,8.36,7,9,8,8,9,8,6,8,6,6,9,9,9,7,9,9,8,9,8,7,8,9
781,halqasimon,doirasimon,syn,ADJ,7.18,8.18,8,7,8,7,6,8,6,8,6,9,6,9,9,8,8,6,9,7,10,7,8,9
782,pahmoq,yumshoq,syn,ADJ,8.36,7.91,8,7,8,6,9,7,9,10,10,10,8,10,8,9,7,6,9,6,7,8,8,9
783,rejali,tartibli,syn,ADJ,7.45,8.09,7,9,7,6,9,7,9,8,6,8,6,8,9,8,7,9,7,9,7,8,10,7
784,vaysaqi,ezma,syn,ADJ,8.27,8.09,8,9,8,10,8,8,6,10,9,7,8,9,7,7,10,8,8,7,7,10,9,7
785,xushvaqt,xursand,syn,ADJ,7.91,8.91,9,9,7,7,7,8,8,6,10,8,8,10,9,8,7,9,9,10,8,10,9,9
786,axloqsiz,odobsiz,syn,ADJ,8.09,8.91,9,7,7,7,8,9,9,9,8,8,8,10,8,8,8,8,10,10,9,9,9,9
787,beor,nomussiz,syn,ADJ,7.82,8.55,9,8,7,7,6,8,9,7,7,8,10,10,9,8,8,8,9,9,10,7,8,8
788,dumbul,yalqov,syn,ADJ,7.27,8.73,8,6,8,9,6,8,7,7,9,6,6,9,8,9,10,8,9,8,8,10,8,9
789,chalajon,nimjon,syn,ADJ,7.73,8.64,8,10,8,7,9,8,6,6,7,8,8,9,10,9,8,9,9,7,9,9,7,9
790,dardli,musibatli,syn,ADJ,7.64,8.73,10,9,6,8,8,8,8,6,6,8,7,10,10,8,9,9,9,9,7,9,8,8
791,kamhosil,unumsiz,syn,ADJ,8.00,7.55,9,8,6,7,6,9,10,8,8,8,9,10,6,7,8,8,9,10,7,6,6,6
792,munozarali,bahsli,syn,ADJ,7.09,8.18,8,6,7,8,6,9,6,6,6,8,8,10,8,7,9,8,9,7,9,6,8,9
793,gapdon,biyron,syn,ADJ,8.00,8.27,9,9,7,6,8,8,8,9,9,8,7,10,9,8,7,6,10,9,10,9,7,6
794,go'shtxo'r,yirtqich,syn,ADJ,7.27,8.45,7,8,6,8,6,6,9,8,8,7,7,9,10,8,7,8,8,10,7,8,9,9
795,husndor,chiroyli,syn,ADJ,7.64,9.00,8,9,6,7,7,8,7,6,9,8,9,10,10,7,9,9,9,10,9,8,9,9
796,lazzatli,mazali,syn,ADJ,8.73,9.27,10,9,8,10,7,10,8,8,9,8,9,10,9,8,10,8,10,9,10,9,9,10
797,maymoq,paxmoq,syn,ADJ,7.64,7.00,8,6,6,8,7,8,7,9,10,7,8,9,6,6,6,8,9,8,7,6,6,6
798,me'moriy,arxitekturaviy,syn,ADJ,8.27,9.09,10,8,7,9,6,8,9,9,9,8,8,10,9,8,9,8,9,10,10,10,9,8
